,AV,Cmp%,DOB,End_Year,FF,FGA,FGM,FantPt,G,GS,Int,Player,Pos,QBrec,Rec,Ret,Rt,Rush,Sk,Start_Year,TD,Tkl,XPA,XPM,Y/A,Y/R,Yds,Draft_Pick,Draft_Round,Draft_Year,position_group,injured_pct
1112,21,,1991-07-27,2016,,,,,38,38,,Corey Linsley,C,,,,,,,2014,,,,,,,,161,5,2008,OL,0.31
1114,19,,1987-09-09,2015,,,,353.6,88,,,Riley Cooper,WR,,169,,,,,2010,18,,,,,14.3,2418,159,5,2008,WR,0.04
1115,7,,1984-05-29,2012,,,,,63,,,Justin Tryon,DB,,,,14,,,2008,0,,,,,,299,124,4,2008,DB,0.29
1116,4,,1992-07-24,2015,4,,,,15,,,Hau'oli Kikaha,OLB,,,,,,4.0,2015,,32,,,,,,44,2,2008,LB,0.53
1117,12,,1987-07-27,2013,,,,,38,,,Jacoby Ford,WR,,,,75,,,2010,4,,,,,,1874,108,4,2008,WR,0.75
1118,16,,1990-02-07,2016,,,,,47,,4,Morris Claiborne,CB,,,,,,,2012,0,,,,,,19,6,1,2008,DB,0.36
1119,15,,1988-01-30,2016,,,,313.4,93,,,Lance Kendricks,TE,,204,,,,,2011,17,,,,,10.5,2132,47,2,2008,TE,0.06
1120,14,,1988-06-28,2014,,,,,57,21,,Terrence Cody,DT,,,,,,,2010,,,,,,,,57,2,2008,DL,0.22
1121,33,,1984-12-12,2016,4,,,,133,,,Philip Wheeler,LB,,,,,,6.5,2008,,345,,,,,,93,3,2008,LB,0.08
1122,6,,1986-05-06,2015,0,,,,39,,,Markus Kuhn,DT,,,,,,1.5,2012,,23,,,,,,239,7,2008,DL,0.36
1123,60,,1980-12-25,2012,,,,,136,,21,Marcus Trufant,DB,,,,,,,2003,2,,,,,,370,11,1,2008,DB,0.35
1124,43,,1981-09-04,2013,1,,,,139,,,Isaac Sopoaga,DT,,,,,,8.5,2005,,157,,,,,,,,,DL,0.03
1125,43,,1983-07-21,2013,,,,673.3,105,,,Kellen Winslow,TE,,469,,,,,2004,25,,,,,11.2,5236,6,1,2008,TE,0.02
1126,17,,1988-12-17,2016,5,,,,83,,,Pernell McPhee,DL,,,,,,27.0,2011,,119,,,,,,165,5,2008,DL,0.16
1127,6,,1994-07-03,2016,0,,,,16,,,Chris Jones,DT,,,,,,2.0,2016,,17,,,,,,37,2,2008,DL,0.53
1128,11,,1991-02-18,2016,0,,,,47,,,Christian Jones,ILB,,,,,,2.0,2014,,104,,,,,,,,,LB,0.0
1129,9,,1985-12-31,2012,4,,,,48,,,Antwan Applewhite,LB,,,,,,6.5,2008,,73,,,,,,,,,LB,0.34
1130,4,,1987-10-14,2015,,,,,49,6,,Jalil Brown,DB,,,,,,,2011,,,,,,,,118,4,2008,DB,0.28
1131,1,,1986-11-14,2014,,,,,17,,,Ricky Sapp,LB,,,,,,,2012,,,,,,,,,,,LB,0.52
1132,0,,1992-07-17,2014,,,,20.2,6,,,Storm Johnson,RB,,,,,29,,2014,2,,,,3.0,,86,222,7,2008,RB,0.25
1133,3,,1983-12-17,2012,,,,,38,1,,Michael Coe,DB,,,,,,,2007,,,,,,,,173,5,2008,DB,0.44
1134,14,,1987-07-24,2016,,,,310.1,74,,,Matt Asiata,FB,,,,,361,,2012,18,,,,3.5,,1259,,,,FB,0.09
1135,19,,1994-06-18,2016,,,,290.0,32,,,Amari Cooper,WR,,155,,,,,2015,11,,,,,14.3,2223,4,1,2008,WR,0.0
1136,45,,1983-06-10,2011,,,,949.0,99,,,Marion Barber,RB,,,,,1156,,2005,53,,,,4.1,,4780,109,4,2008,RB,0.19
1137,23,,1987-06-03,2016,3,,,,94,,,Jonathan Casillas,LB,,,,,,6.5,2009,,224,,,,,,,,,LB,0.22
1138,17,,1992-01-30,2016,,,,,45,,7,Bashaud Breeland,CB,,,,,,,2014,0,,,,,,88,102,4,2008,DB,0.04
1139,23,,1980-03-03,2012,8,,,,132,,,Mario Haggan,LB,,,,,,9.0,2003,,224,,,,,,228,7,2008,LB,0.0
1141,23,,1983-06-09,2010,,,,,81,,6,Fabian Washington,DB,,,,,,,2005,0,,,,,,16,23,1,2008,DB,0.48
1143,32,,1991-04-25,2016,,,,663.8,75,,,Lamar Miller,RB,,,,,906,,2012,24,,,,4.4,,4003,97,4,2008,RB,0.01
1144,104,,1978-01-09,2011,,,,1518.4,166,,,Chad Johnson,WR,,766,,,,,2001,67,,,,,14.4,11059,36,2,2008,WR,0.08
1145,20,,1991-09-14,2016,,,,,48,48,,Chance Warmack,OG,,,,,,,2013,,,,,,,,10,1,2008,OL,0.25
1146,4,,1982-05-10,2010,,,,,63,4,,Eric King,DB,,,,,,,2005,,,,,,,,156,5,2008,DB,0.75
1148,47,,1983-12-30,2016,2,,,,138,,,Paul Soliai,DT,,,,,,5.5,2007,,158,,,,,,108,4,2008,DL,0.05
1149,38,,1990-02-14,2016,,,,624.7,63,,,Alshon Jeffery,WR,,304,,,,,2012,26,,,,,15.0,4549,45,2,2008,WR,0.16
1150,3,,1989-09-10,2016,0,,,,31,,,Cornelius Washington,DE,,,,,,3.0,2013,,21,,,,,,188,6,2008,DL,0.33
1151,12,,1992-05-30,2016,,,,,45,,6,Andre Hal,CB,,,,,,,2014,1,,,,,,90,216,7,2008,DB,0.03
1152,11,,1990-11-15,2015,,,,,21,17,,Bryan Stork,C,,,,,,,2014,,,,,,,,105,4,2008,OL,0.31
1153,7,,1991-07-18,2016,1,,,,35,,,Jimmie Ward,SS,,,,,,2.0,2014,,107,,,,,,30,1,2008,DB,0.27
1154,0,,1990-03-11,2014,,,,,8,,,Rodney Smith,WR,,,,,,,2013,,,,,,,,,,,WR,0.16
1156,12,,1993-04-10,2016,,,,197.7,40,,,Eric Ebron,TE,,133,,,,,2014,7,,,,,11.2,1496,10,1,2008,TE,0.12
1157,1,,1988-03-01,2013,,,,,26,,,Curtis Marsh,DB,,,,,,,2011,,,,,,,,90,3,2008,DB,0.28
1158,2,,1990-08-25,2016,,,,,25,1,,Montori Hughes,DT,,,,,,,2013,,,,,,,,139,5,2008,DL,0.12
1160,6,,1986-02-26,2014,1,,,,56,,,Tim Jamison,DE,,,,,,5.5,2009,,43,,,,,,,,,DL,0.22
1161,15,,1985-09-24,2015,,,,,84,,7,Trumaine McBride,DB,,,,,,,2007,1,,,,,,112,221,7,2008,DB,0.2
1162,4,,1992-11-30,2015,,,,,15,11,,Bobby Richardson,DT,,,,,,,2015,,,,,,,,,,,DL,0.06
1163,3,,1985-08-22,2010,,,,,28,,,Chad Simpson,RB,,,,55,,,2008,1,,,,,,1301,,,,RB,0.31
1164,7,,1987-11-09,2013,1,,,,30,,,Austen Lane,DE,,,,,,3.0,2010,,46,,,,,,153,5,2008,DL,0.29
1165,54,,1984-03-19,2015,4,,,,138,,,Barry Cofield,DT,,,,,,19.5,2006,,206,,,,,,124,4,2008,DL,0.25
1166,0,,1987-10-28,2010,,,,,2,,,E.J. Wilson,DE,,,,,,,2010,,,,,,,,127,4,2008,DL,0.12
1167,1,,1991-05-14,2014,,,,,14,,,Ronald Powell,OLB,,,,,,,2014,,,,,,,,169,5,2008,LB,0.0
1168,0,,1988-02-03,2012,,,,6.9,19,,,Johnny White,RB,,,,,20,,2011,0,,,,3.6,,72,133,5,2008,RB,0.25
1169,20,,1986-05-22,2016,,,,,73,38,,A.Q. Shipley,C,,,,,,,2012,,,,,,,,,,,OL,0.0
1170,12,,1988-05-07,2015,,,,197.3,41,,,Leonard Hankerson,WR,,107,,,,,2011,9,,,,,13.2,1408,79,3,2008,WR,0.44
1171,75,,1979-08-03,2010,2,,,,108,,,Kris Jenkins,DT,,,,,,24.0,2001,,220,,,,,,44,2,2008,DL,0.78
1172,13,,1984-11-26,2016,,,,,50,23,,Cody Wallace,C,,,,,,,2009,,,,,,,,,,,OL,0.33
1173,4,,1993-07-03,2016,,,,,18,5,,Rakeem Nunez-Roches,DT,,,,,,,2015,,,,,,,,217,6,2008,DL,0.06
1174,11,,1990-06-07,2016,2,,,,46,,,Sean Spence,LB,,,,,,5.0,2012,,97,,,,,,86,3,2008,LB,0.27
1175,24,,1982-10-13,2011,,,,361.5,95,,,Michael Clayton,WR,,223,,,,,2004,10,,,,,13.3,2955,15,1,2008,WR,0.28
1177,19,,1989-03-25,2016,2,,,,72,,,Allen Bailey,DL,,,,,,11.5,2011,,94,,,,,,86,3,2008,DL,0.36
1178,4,,1987-12-23,2014,,,,,26,8,,James Brewer,OL,,,,,,,2012,,,,,,,,,,,OL,0.21
1179,29,,1983-05-01,2013,5,,,,101,,,Stephen Nicholas,LB,,,,,,8.0,2007,,284,,,,,,109,4,2008,LB,0.12
1180,2,,1992-01-17,2016,0,,,,15,,,Ryan Delaire,DE,,,,,,3.5,2015,,9,,,,,,,,,DL,0.56
1181,4,,1991-01-22,2015,5,,,,30,,,Jonathan Newsome,OLB,,,,,,7.5,2014,,33,,,,,,166,5,2008,LB,0.06
1183,38,,1987-11-05,2016,,,,,78,78,,Jason Kelce,OL,,,,,,,2011,,,,,,,,191,6,2008,OL,0.22
1184,13,,1987-09-01,2016,,,,,88,,,Mark Herzlich,LB,,,,2,,,2011,0,,,,,,8,,,,LB,0.09
1186,4,,1992-05-13,2016,,,,,29,8,,Ibraheim Campbell,SS,,,,,,,2015,,,,,,,,115,4,2008,DB,0.06
1187,31,,1976-03-31,2010,,,,,158,,,Tyrone Carter,DB,,,,35,,,2000,0,,,,,,755,118,4,2008,DB,0.0
1188,12,,1984-02-03,2014,,,,190.6,88,,,Brian Leonard,RB,,143,,,221,,2007,1,,,,3.7,7.0,1008,52,2,2008,RB,0.17
1189,22,,1983-01-27,2011,2,,,,102,,,Chauncey Davis,DE,,,,,,11.0,2005,,148,,,,,,128,4,2008,DL,0.0
1190,3,,1984-11-22,2012,,,,,25,7,,Josh Barrett,DB,,,,,,,2008,,,,,,,,220,7,2008,DB,0.7
1191,32,,1989-07-12,2016,,,,,80,64,,Rodney Hudson,OL,,,,,,,2011,,,,,,,,55,2,2008,OL,0.25
1192,20,,1987-03-23,2013,,,,300.6,78,,,Earl Bennett,WR,,185,,,,,2008,12,,,,,12.3,2277,70,3,2008,WR,0.19
1193,7,,1991-02-18,2016,1,,,,62,,,Daimion Stafford,FS,,,,,,3.0,2013,,90,,,,,,248,7,2008,DB,0.06
1194,33,,1987-07-19,2016,,,,,100,,13,Jerraud Powers,DB,,,,,,,2009,1,,,,,,60,92,3,2008,DB,0.28
1196,18,,1991-02-10,2016,,,,383.9,42,,,C.J. Anderson,RB,,,,,448,,2013,17,,,,4.6,,2044,,,,RB,0.23
1197,4,,1990-06-27,2015,,,,97.1,16,,,Jonas Gray,RB,,,,,134,,2012,5,,,,4.4,,588,,,,RB,0.35
1198,34,,1984-07-11,2015,,,,,128,,,Jacoby Jones,WR,,,276,,,,2007,4,,,,,,2688,73,3,2008,WR,0.09
1199,1,,1988-04-10,2013,,,,,15,,,Akwasi Owusu-Ansah,DB,,,,28,,,2010,0,,,,,,599,126,4,2008,DB,0.56
1200,26,,1982-06-21,2011,1,,,,73,,,Jovan Haye,DE,,,,,,6.5,2005,,128,,,,,,189,6,2008,DL,0.0
1201,12,,1985-06-30,2011,2,,,,60,,,Tim Crowder,DE,,,,,,10.5,2007,,83,,,,,,56,2,2008,DL,0.25
1202,26,,1989-11-16,2016,3,,,,77,,,Akiem Hicks,DE,,,,,,16.5,2012,,114,,,,,,89,3,2008,DL,0.04
1203,13,,1989-10-03,2016,,,,,54,,7,Johnthan Banks,CB,,,,,,,2013,1,,,,,,102,43,2,2008,DB,0.06
1204,3,,1991-02-27,2015,,,,,26,2,,Antone Exum,CB,,,,,,,2014,,,,,,,,182,6,2008,DB,0.44
1205,35,,1983-05-05,2011,,,,,100,91,,Jason Brown,C,,,,,,,2005,,,,,,,,124,4,2008,OL,0.0
1206,6,,1990-06-13,2016,,,,126.6,48,,,Vance McDonald,TE,,64,,,,,2013,7,,,,,13.5,866,55,2,2008,TE,0.25
1207,6,,1991-09-14,2015,,,,,21,,3,Dee Milliner,CB,,,,,,,2013,0,,,,,,31,9,1,2008,DB,0.56
1208,3,,1989-09-15,2012,,,,,22,,,Eric Hagg,DB,,,,2,,,2011,0,,,,,,8,248,7,2008,DB,0.16
1209,3,,1992-04-21,2016,,,,,10,8,,Alex Lewis,OT,,,,,,,2016,,,,,,,,130,4,2008,OL,0.25
1210,1,,1987-05-04,2011,,,,,13,,,Brian Jackson,DB,,,,,,,2010,,,,,,,,,,,DB,0.5
1211,24,,1986-03-18,2016,,,,,109,,15,Darius Butler,DB,,,,,,,2009,4,,,,,,290,41,2,2008,DB,0.11
1212,2,,1985-07-04,2010,,,,,35,,,Stanford Keglar,LB,,,,,,,2008,,,,,,,,134,4,2008,LB,0.09
1213,135,64.9,1985-05-17,2016,,,,2322.1,142,,114,Matt Ryan,QB,85-57-0,,,,,,2008,240,,,,7.4,,37701,3,1,2008,QB,0.03
1214,28,,1990-09-19,2016,,,,,68,,14,Stephon Gilmore,CB,,,,,,,2012,0,,,,,,252,10,1,2008,DB,0.15
1215,12,,1990-09-19,2016,,,,214.4,31,,,Charles Sims,RB,,,,,224,,2014,2,,,,3.9,,863,69,3,2008,RB,0.53
1216,4,,1992-05-13,2016,,,,,23,15,,Ladarius Gunter,CB,,,,,,,2015,,,,,,,,,,,DB,0.03
1217,1,,1988-04-22,2012,,,,,13,,,Adrian Moten,LB,,,,,,,2011,,,,,,,,,,,LB,0.06
1218,31,,1983-05-31,2016,6,,,,143,,,Lorenzo Alexander,DT,,,,,,21.5,2007,,176,,,,,,,,,DL,0.2
1219,3,,1993-09-10,2016,,,,68.1,16,,,Breshad Perriman,WR,,33,,,,,2016,3,,,,,15.1,499,,,,WR,0.5
1220,14,,1985-05-30,2012,6,,,,66,,,Turk McBride,DT,,,,,,9.5,2007,,78,,,,,,54,2,2008,DL,0.2
1221,2,,1984-04-16,2010,,,,27.1,57,,,Daniel Coats,TE,,30,,,,,2007,0,,,,,9.7,291,,,,TE,0.0
1222,49,,1988-08-02,2016,,,,728.9,106,,,Golden Tate,WR,,445,,,,,2010,29,,,,,12.2,5416,60,2,2008,WR,0.04
1224,41,,1979-10-10,2010,6,,,,97,,,Kawika Mitchell,LB,,,,,,13.0,2003,,371,,,,,,47,2,2008,LB,0.47
1225,11,,1984-05-23,2012,,,,148.3,61,,,Devin Aromashodu,WR,,78,,,,,2007,5,,,,,15.3,1193,,,,WR,0.03
1226,23,,1990-08-03,2016,,,,,40,36,,Terron Armstead,OT,,,,,,,2013,,,,,,,,75,3,2008,OL,0.2
1228,73,62.7,1987-10-29,2016,,,,1474.3,93,,81,Andy Dalton,QB,56-35-2,,,,,,2011,142,,,,7.3,,22214,35,2,2008,QB,0.05
1229,1,,1992-08-10,2016,,,,21.9,34,,,Cody Latimer,WR,,16,,,,,2014,1,,,,,9.9,158,56,2,2008,WR,0.09
1230,1,,1981-10-30,2010,,,,28.1,56,,,Naufahu Tahi,RB,,33,,,,,2007,2,,,,,4.5,150,,,,RB,0.03
1231,3,,1990-05-09,2016,,,,,15,7,,Anthony Steen,OG,,,,,,,2016,,,,,,,,,,,OL,0.06
1232,36,,1984-01-23,2014,14,,,,104,,,Anthony Spencer,DE,,,,,,33.0,2007,,273,,,,,,26,1,2008,DL,0.38
1233,0,,1990-03-08,2013,,,,,2,,,Sanders Commings,CB,,,,,,,2013,,,,,,,,134,5,2008,DB,0.94
1234,5,,1990-07-02,2016,,,,86.3,42,,,Rex Burkhead,RB,,,,,87,,2013,3,,,,4.3,,375,190,6,2008,RB,0.12
1235,12,,1983-02-24,2012,,,,,74,,8,Charlie Peprah,DB,,,,,,,2006,1,,,,,,174,158,5,2008,DB,0.4
1237,13,,1991-07-30,2016,4,,,,60,,,A.J. Klein,ILB,,,,,,4.0,2013,,93,,,,,,148,5,2008,LB,0.08
1238,3,,1990-01-24,2014,,,,,42,,,Brandon Harris,DB,,,,,,,2011,,,,,,,,60,2,2008,DB,0.59
1240,4,,1989-12-15,2014,,,,,18,7,,Earl Wolff,SS,,,,,,,2013,,,,,,,,136,5,2008,DB,0.38
1241,13,,1989-12-06,2015,,,,212.1,60,,,Chris Givens,WR,,107,,,,,2012,5,,,,,16.6,1779,96,4,2008,WR,0.5
1242,62,,1986-08-01,2016,,,,1069.1,127,,,Mike Wallace,WR,,486,,,,,2009,53,,,,,15.1,7324,84,3,2008,WR,0.0
1243,1,,1988-05-27,2012,,,,,23,,,Tyler Sash,SS,,,,,,,2011,,,,,,,,198,6,2008,DB,0.16
1244,13,,1990-11-08,2016,,,,,33,25,,Spencer Long,OG,,,,,,,2014,,,,,,,,78,3,2008,OL,0.03
1245,69,,1985-01-15,2016,2,,,,141,,,Brandon Mebane,DT,,,,,,16.5,2007,,245,,,,,,85,3,2008,DL,0.19
1246,7,,1991-12-29,2015,,,,149.2,35,,,Joseph Randle,RB,,,,,181,,2013,9,,,,4.5,,822,151,5,2008,RB,0.03
1248,35,,1989-07-06,2016,,,,,66,66,,Matt Kalil,OT,,,,,,,2012,,,,,,,,4,1,2008,OL,0.18
1249,27,,1987-05-18,2014,,,,461.3,63,,,Mike Williams,WR,,223,,,,,2010,26,,,,,13.9,3089,101,4,2008,WR,0.22
1250,3,,1983-05-08,2012,,,,67.2,106,,,Lawrence Vickers,FB,,58,,,37,,2006,0,,,,2.6,7.0,98,180,6,2008,FB,0.03
1251,75,,1985-05-31,2016,,,,1108.6,121,,,Jordy Nelson,WR,,497,,,,,2008,63,,,,,14.8,7366,36,2,2008,WR,0.48
1252,19,,1985-08-27,2015,,,,,95,,3,Jamarca Sanford,DB,,,,,,,2009,0,,,,,,72,231,7,2008,DB,0.21
1253,32,,1987-11-01,2016,10,,,,74,,,Bruce Irvin,DE,,,,,,29.0,2012,,143,,,,,,15,1,2008,DL,0.04
1255,24,,1986-05-17,2015,,,,,83,,7,Keenan Lewis,DB,,,,,,,2009,0,,,,,,45,96,3,2008,DB,0.15
1257,64,59.2,1989-09-12,2016,,,,1359.3,70,,68,Andrew Luck,QB,43-27-0,,,,,,2012,132,,,,7.2,,19078,1,1,2008,QB,0.21
1258,11,,1991-08-26,2016,,,,,57,13,,Alvin Bailey,OG,,,,,,,2013,,,,,,,,,,,OL,0.12
1259,51,,1990-03-13,2016,2,,,,86,,,Marcell Dareus,DT,,,,,,34.0,2011,,201,,,,,,3,1,2008,DL,0.02
1260,38,,1987-03-10,2016,,,,610.7,135,,,Martellus Bennett,TE,,403,,,,,2008,30,,,,,10.6,4287,61,2,2008,TE,0.07
1261,0,,1989-11-03,2012,,,,,1,,,Robert Sands,FS,,,,,,,2011,,,,,,,,134,5,2008,DB,1.0
1262,24,,1982-09-07,2011,,,,,101,,11,James Butler,DB,,,,,,,2005,0,,,,,,108,,,,DB,0.16
1263,11,,1991-04-09,2015,,,,225.3,35,,,Zac Stacy,RB,,,,,357,,2013,9,,,,3.8,,1355,160,5,2008,RB,0.0
1264,1,,1986-11-10,2012,,,,,16,,,Dexter Davis,LB,,,,,,,2010,,,,,,,,236,7,2008,LB,0.5
1265,23,,1984-06-12,2014,,,,381.5,77,,,Donnie Avery,WR,,218,,,,,2008,14,,,,,13.1,2861,33,2,2008,WR,0.26
1267,5,,1986-09-07,2012,,,,,38,,3,Troy Nolan,DB,,,,,,,2010,0,,,,,,35,,,,DB,0.44
1268,16,,1981-01-04,2012,3,,,,72,,,Dave Ball,DE,,,,,,15.5,2004,,80,,,,,,133,5,2008,DL,0.22
1269,54,,1989-07-23,2016,10,,,,92,,,K.J. Wright,LB,,,,,,11.5,2011,,394,,,,,,99,4,2008,LB,0.06
1270,56,,1984-01-31,2016,,,,978.9,164,,,Vernon Davis,TE,,505,,,,,2006,57,,,,,12.7,6424,6,1,2008,TE,0.05
1271,20,,1989-12-29,2016,,,,319.1,68,,,Travis Benjamin,WR,,156,,,,,2012,14,,,,,15.1,2360,100,4,2008,WR,0.12
1272,28,,1987-04-11,2015,,,,510.5,88,,,Donald Brown,RB,,,,,695,,2009,18,,,,4.1,,2829,27,1,2008,RB,0.21
1273,4,,1989-01-15,2014,,,,,51,8,,Chris White,LB,,,,,,,2011,,,,,,,,169,6,2008,LB,0.2
1274,3,,1989-09-08,2012,,,,31.7,11,,,Armon Binns,WR,,24,,,,,2012,1,,,,,11.5,277,,,,WR,0.31
1275,35,,1980-08-17,2010,,,,,96,,14,Eugene Wilson,DB,,,,,,,2003,1,,,,,,139,36,2,2008,DB,0.28
1276,4,,1986-12-31,2016,,,,76.5,93,,,Jim Dray,TE,,56,,,,,2010,3,,,,,10.8,605,233,7,2008,TE,0.17
1277,10,58.4,1988-02-17,2016,,,,281.2,26,,20,Case Keenum,QB,9-15-0,,,,,,2012,24,,,,6.7,,5224,,,,QB,0.12
1278,8,,1994-05-21,2016,,,,138.4,31,,,Devin Funchess,WR,,54,,,,,2015,9,,,,,15.6,844,41,2,2008,WR,0.06
1279,4,,1991-10-10,2016,,,,,39,4,,Darqueze Dennard,CB,,,,,,,2014,,,,,,,,24,1,2008,DB,0.19
1280,30,,1986-02-25,2016,,,,434.3,76,,,James Starks,RB,,,,,618,,2010,9,,,,4.1,,2506,193,6,2008,RB,0.25
1281,1,60.9,1990-04-26,2016,,,,18.1,5,,1,Tom Savage,QB,1-1-0,,,,,,2014,0,,,,6.4,,588,135,4,2008,QB,0.4
1282,8,,1988-03-14,2016,2,,,,59,,,Nathan Stupar,OLB,,,,,,2.0,2012,,79,,,,,,230,7,2008,LB,0.0
1283,94,,1985-12-10,2016,,,,1797.4,134,,,Matt Forte,RB,,,,,2253,,2008,52,,,,4.2,,9415,44,2,2008,RB,0.09
1284,18,,1991-11-06,2016,,,,,39,39,,Luke Joeckel,OT,,,,,,,2013,,,,,,,,2,1,2008,OL,0.39
1285,3,,1993-03-27,2016,,,,,20,3,,Justin Coleman,CB,,,,,,,2015,,,,,,,,,,,DB,0.25
1287,1,,1987-11-24,2012,,,,,28,1,,Myron Lewis,DB,,,,,,,2010,,,,,,,,67,3,2008,DB,0.09
1288,2,,1990-01-29,2016,,,,,24,2,,Nick Moody,OLB,,,,,,,2013,,,,,,,,180,6,2008,LB,0.23
1289,0,,1988-03-17,2012,,,,,3,,,Jonas Mouton,LB,,,,,,,2012,,,,,,,,,,,LB,1.0
1290,8,,1992-09-21,2016,0,,,,31,,,Jordan Phillips,DT,,,,,,2.5,2015,,27,,,,,,52,2,2008,DL,0.0
1291,6,,1993-10-16,2016,0,,,,31,,,Christian Covington,DT,,,,,,3.0,2015,,21,,,,,,216,6,2008,DL,0.03
1292,65,,1981-05-13,2014,22,,,,168,,,Shaun Phillips,DE,,,,,,81.5,2004,,399,,,,,,98,4,2008,DL,0.08
1293,46,,1979-07-12,2012,3,,,,139,,,Ron Edwards,DT,,,,,,16.5,2001,,145,,,,,,76,3,2008,DL,0.66
1294,0,,1988-10-04,2012,,,,2.9,24,,,Owen Marecic,RB,,5,,,4,,2011,0,,,,2.0,6.2,8,124,4,2008,RB,0.12
1296,3,,1991-03-02,2016,,,,,34,,,Terrence Brooks,FS,,,,,,,2014,,,,,,,,79,3,2008,DB,0.16
1297,2,,1984-11-24,2015,0,,,,21,,,Brandon Bair,DT,,,,,,1.5,2012,,20,,,,,,,,,DL,0.1
1299,8,,1984-07-10,2016,,,,,124,,,Clark Harris,TE,,,,,,,2008,,,,,,,,,,,TE,0.06
1300,25,,1987-02-10,2016,7,,,,114,,,Orlando Scandrick,DB,,,,,,11.5,2008,,321,,,,,,143,5,2008,DB,0.24
1301,4,,1985-12-14,2011,,,,,36,,3,Morgan Trent,DB,,,,,,,2009,0,,,,,,17,179,6,2008,DB,0.21
1302,20,,1986-11-03,2012,,,,288.6,45,,,Johnny Knox,WR,,133,,,,,2009,12,,,,,16.6,2214,140,5,2008,WR,0.3
1303,31,,1988-03-22,2016,,,,661.8,81,,,Chris Ivory,RB,,,,,1000,,2010,27,,,,4.5,,4470,,,,RB,0.21
1304,0,,1988-04-06,2011,,,,4.0,16,,,Carlton Mitchell,WR,,3,,,,,2010,0,,,,,10.3,31,177,6,2008,WR,0.12
1305,4,,1990-01-19,2015,,,,,17,9,,Khaled Holmes,C,,,,,,,2013,,,,,,,,121,4,2008,OL,0.25
1306,28,,1983-08-20,2012,,,,402.4,86,,,Steve Breaston,WR,,255,,,,,2007,9,,,,,13.3,3387,142,5,2008,WR,0.06
1307,28,,1985-11-29,2016,0,,,,116,,,Pat Sims,DT,,,,,,8.5,2008,,159,,,,,,77,3,2008,DL,0.15
1308,1,,1988-10-20,2015,,,,,14,1,,Mario Butler,CB,,,,,,,2012,,,,,,,,,,,DB,1.0
1309,23,,1986-01-21,2014,,,,527.7,81,,,Peyton Hillis,RB,,,,,696,,2008,23,,,,4.1,,2832,227,7,2008,RB,0.18
1310,80,,1977-06-24,2012,,,,,191,,27,Antoine Winfield,DB,,,,,,,1999,2,,,,,,259,,,,DB,0.35
1311,36,,1991-01-01,2016,,,,597.5,51,,,Eddie Lacy,RB,,,,,788,,2013,23,,,,4.4,,3435,61,2,2008,RB,0.2
1312,1,,1989-09-23,2015,,,,10.2,10,,,Kevin Norwood,WR,,9,,,,,2014,0,,,,,11.3,102,123,4,2008,WR,0.12
1313,111,,1977-03-22,2011,25,,,,188,,,Joey Porter,LB,,,,,,98.0,1999,,498,,,,,,,,,LB,0.29
1314,13,,1986-11-24,2012,,,,219.1,54,,,Mohamed Massaquoi,WR,,118,,,,,2009,7,,,,,14.8,1745,50,2,2008,WR,0.16
1315,9,,1978-12-30,2010,,,,148.8,143,,,Heath Evans,FB,,,,,164,,2001,4,,,,3.5,,579,82,3,2008,FB,0.62
1316,1,,1989-07-19,2015,,,,,11,,,Darius Fleming,OLB,,,,,,,2012,,,,,,,,165,5,2008,LB,1.0
1317,23,,1984-12-08,2013,1,,,,83,,,Antonio Johnson,DT,,,,,,4.5,2008,,98,,,,,,,,,DL,0.09
1318,28,,1985-09-06,2016,7,,,,108,,,Robert Ayers,DE,,,,,,32.5,2009,,175,,,,,,18,1,2008,DL,0.18
1319,13,,1984-10-21,2013,,,,,98,13,,Marvin Mitchell,LB,,,,,,,2007,,,,,,,,220,7,2008,LB,0.19
1320,41,,1979-04-19,2012,5,,,,160,,,Rocky Bernard,DT,,,,,,33.0,2002,,266,,,,,,146,5,2008,DL,0.1
1321,6,,1987-08-07,2014,4,,,,44,,,Everette Brown,DE,,,,,,7.0,2009,,48,,,,,,43,2,2008,DL,0.12
1322,1,,1987-04-06,2012,,,,,16,,,Adrian Tracy,LB,,,,,,,2012,,,,,,,,,,,LB,0.5
1323,24,,1987-03-24,2015,,,,,56,52,,J.D. Walton,C,,,,,,,2010,,,,,,,,80,3,2008,OL,0.81
1324,1,,1989-12-28,2015,,,,,26,,,Kevin Reddick,ILB,,,,,,,2013,,,,,,,,,,,LB,0.0
1325,31,,1991-03-13,2016,,,,,59,59,,D.J. Fluker,OT,,,,,,,2013,,,,,,,,11,1,2008,OL,0.1
1326,57,,1979-10-31,2012,8,,,,147,,,Chris Kelsay,DE,,,,,,32.5,2003,,291,,,,,,48,2,2008,DL,0.17
1327,0,90.0,1990-03-10,2015,,,,8.8,5,,0,Ryan Nassib,QB,,,,,,,2014,1,,,,12.8,,128,,,,QB,0.16
1328,0,,1989-10-07,2014,,,,,2,,,Tommy Streeter,WR,,,,,,,2012,,,,,,,,198,6,2008,WR,0.59
1330,10,,1990-06-27,2016,,,,,45,,3,D.J. Hayden,CB,,,,,,,2013,0,,,,,,0,12,1,2008,DB,0.3
1331,20,,1982-11-30,2011,,,,,91,,2,Kelly Jennings,DB,,,,,,,2006,0,,,,,,0,31,1,2008,DB,0.1
